label,best_k,coherence_score,topic_id,top_words
a,8,0.5171,0,"innovation, transaction_routing, temporal, research, balance, fraud, soft_law, miner, practice, criterion"
a,8,0.5171,1,"transaction, network, blockchain, data, system, cryptocurrency, node, graph, method, bitcoin"
a,8,0.5171,2,"nnetar, cs, gmdhnn_algorithm, rival, cubic, gmdhnn, spline, 1296, rootmeansquare, notice"
a,8,0.5171,3,"management, smart, cloud, cluster, productivity, smart_city, performance, bitcoin_backbone, resource, technology"
a,8,0.5171,4,"probability, great, mining, carbon_footprint, iot_device, attack, simultaneously, argue, detects, true"
a,8,0.5171,5,"generative, financial, signature, success, transaction, anonymity, cryptocurrency, paper, data, ico"
a,8,0.5171,6,"model, bitcoin, market, cryptocurrencies, price, machine_learning, using, data, investor, cryptocurrency"
a,8,0.5171,7,"prediction, classifier, bwuro, bitcoin_price, algorithm, bilstm, cnn, respectively, work, proposed"
b,9,0.4471,0,"real_estate, analysis, research, data, machine_learning, application, change, paper, study, industry"
b,9,0.4471,1,"typology, manure, composition, taking, offender, laundering, pakistan, vehicle, pigbreeding, unpleasant_odor"
b,9,0.4471,2,"urban, house_price, land, area, feature, city, poi, land_value, land_use, public"
b,9,0.4471,3,"team, image, wildfire, worker, unique, wfa, produce, proposed, performance, segmentation"
b,9,0.4471,4,"model, prediction, user, algorithm, task, real_estate, use, data, performance, machine_learning"
b,9,0.4471,5,"check, intelligent_system, describe, socalled, explainable_xai, hief, blindspot, archetype, comprehensiveness, obfuscated"
b,9,0.4471,6,"model, real_estate, data, market, price, machine_learning, study, based, using, housing_price"
b,9,0.4471,7,"hard, layer, document, affordability, solving, craft_brewery, floor, japan, adapting, hazard"
b,9,0.4471,8,"model, training, real_estate, method, performance, mass_appraisal, algorithm, machine_learning, neural_network, technique"
c,10,0.4543,0,"anomaly, diversification, money, uncertainty, forest, technique_used, coverage, deposit, generally, data_sharing"
c,10,0.4543,1,"study, method, test, result, patient, using, drug, system, sensor, different"
c,10,0.4543,2,"gold, country, presence, one, world, laterite, lateritic_profile, weathering, stock_return, economy"
c,10,0.4543,3,"model, market, gold, price, gold_price, study, machine_learning, data, prediction, using"
c,10,0.4543,4,"ewaste, virus, urban_mining, stability, sustainability, indonesia, mining, ratio, overcome, synthesized"
c,10,0.4543,5,"detection, rapid, developed, food, market, sample, assay, method, gold, sensitivity"
c,10,0.4543,6,"medium, order, calculated, geopolitical, institution, dependence, evolution, quantile, scheme, spread"
c,10,0.4543,7,"restriction, visitor, european, pandemic, impact, expenditure, border, domestic, destination, travel"
c,10,0.4543,8,"gas, result_obtained, period_finding, top, code, begin, dense, simulation, clustering, instrument"
c,10,0.4543,9,"targeting, bubble, spillover, price_bubble, measuring, tin, creating, mobile_phase, intensity, root"
d,8,0.4483,0,"nfts, month, market, caused, nft, percentage, irs, road, host, food"
d,8,0.4483,1,"mouse, animal, week, mhr, induction, pouch, csc, dmba, skin_tumor, treated"
d,8,0.4483,2,"model, image, painting, data, artwork, using, method, art, approach, machine_learning"
d,8,0.4483,3,"chromosome, cell, patient, group, using, treatment, showed, result, exposure, case"
d,8,0.4483,4,"left, threshold, exoskeleton, european, laser_cleaning, kimono, job_task, formal, obidos, realism"
d,8,0.4483,5,"painting, used, study, surface, method, different, technique, pigment, analysis, material"
d,8,0.4483,6,"loss, angle, bar, city, canvas, scheme, great, morphology, comprised, anime"
d,8,0.4483,7,"coating, wall_painting, preparation, sensor, characterization, paint, pigment, church, mural_painting, identified"
e,10,0.422,0,"model, stock, data, based, network, trend, method, algorithm, market, feature"
e,10,0.422,1,"stock_price, prediction, price, model, stock_market, information, method, stock, sentiment, using"
e,10,0.422,2,"dependency, gru, single_classifier, dynamically, money, significant_improvement, correlation, amazon, graph_attention, paper_introduce"
e,10,0.422,3,"strategy, mean_absolute, implemented, optimized, framework, hem, mean_squared, experience, state, traditional"
e,10,0.422,4,"company, firm, mining, procedure, business, normal, learningbased, example, intensity, practical_implication"
e,10,0.422,5,"stock, market, stock_price, system, return, using, study, sentiment, investor, period"
e,10,0.422,6,"model, prediction, data, stock_price, market, machine_learning, financial, forecasting, approach, stock_market"
e,10,0.422,7,"crash_risk, firm, layer, implication, epr_discourse, avoid, ipo, gtp3p, spcr, textual_information"
e,10,0.422,8,"model, forecasting, stock_price, stock, stock_market, network, index, market, performance, lstm"
e,10,0.422,9,"jump, principally, signed, discontinuous, ticklevel, candidate, net, principal_component, understanding, high_frequency"
